img_path,person_id,bmi
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2a42h0/2a42h0_h6VenpC_225_71_false_30_1.0.jpg,2a42h0,31.38
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2a42h0/2a42h0_z6VenpC_216_71_false_30_1.0.jpg,2a42h0,30.12
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2xraoq/2xraoq_PbDJbcx_213_66_true_2_0.56.jpg,2xraoq,34.38
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2xraoq/2xraoq_zbDJbcx_213_66_true_2_0.56.jpg,2xraoq,34.38
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3xptz5/3xptz5_P2YhThW_167_67_false_223_1.0.jpg,3xptz5,26.15
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3xptz5/3xptz5_P2YhThW_230_67_false_223_1.0.jpg,3xptz5,36.02
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1u3m0n/1u3m0n_8kWnagv_170_68_false_7_0.75.jpg,1u3m0n,25.85
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1u3m0n/1u3m0n_9kWnagv_170_68_false_7_0.75.jpg,1u3m0n,25.85
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/ii7sqk/ii7sqk_oHplg_180_71_false_10_1.3.jpg,ii7sqk,25.1
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/ii7sqk/ii7sqk_oHpjg_180_71_false_10_1.3.jpg,ii7sqk,25.1
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1tjayb/1tjayb_zapS5xs_159_68_true_12_0.75.jpg,1tjayb,24.17
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1tjayb/1tjayb_tapS5xs_159_68_true_12_0.75.jpg,1tjayb,24.17
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1gbort/1gbort_yKrnA0i_145_67_true_586_1.0.jpg,1gbort,22.71
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1gbort/1gbort_yKrnA0i_180_67_true_586_1.0.jpg,1gbort,28.19
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/13d1o7/13d1o7_xafWd_178_71_false_5_1.34.jpg,13d1o7,24.82
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/13d1o7/13d1o7_HafWd_178_71_false_5_1.34.jpg,13d1o7,24.82
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2apebg/2apebg_OjmSe8a_271_63_true_507_0.67.jpg,2apebg,48.0
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2apebg/2apebg_5aIIZX9_330_63_true_507_0.67.jpg,2apebg,58.45
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/25bcg4/25bcg4_Bt40ykF_265_74_false_25_1.0.jpg,25bcg4,34.02
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/25bcg4/25bcg4_Bt40ykF_235_74_false_25_1.0.jpg,25bcg4,30.17
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/19c7xl/19c7xl_SW2H7BV_172_70_false_3_0.75.jpg,19c7xl,24.68
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/19c7xl/19c7xl_zW2H7BV_172_70_false_3_0.75.jpg,19c7xl,24.68
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/47o8lj/47o8lj_SoLYC76_197_66_false_76_0.67.jpg,47o8lj,31.79
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/47o8lj/47o8lj_SoLYC76_176_66_false_76_0.67.jpg,47o8lj,28.4
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1me4a5/1me4a5_ZBOVadF_184_67_false_69_2.08.jpg,1me4a5,28.82
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1me4a5/1me4a5_vBOVadF_244_67_false_69_2.08.jpg,1me4a5,38.21
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3hw855/3hw855_gq9rCTP_186_71_false_53_1.78.jpg,3hw855,25.94
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3hw855/3hw855_gq9rCTP_193_71_false_53_1.78.jpg,3hw855,26.92
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2wxtbq/2wxtbq_vyzraLq_250_74_false_0_1.58.jpg,2wxtbq,32.09
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2wxtbq/2wxtbq_I3ZpfLd_235_74_false_0_1.58.jpg,2wxtbq,30.17
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2n6cjq/2n6cjq_jIf0jO0_227_67_true_68_1.3.jpg,2n6cjq,35.55
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2n6cjq/2n6cjq_jIf0jO0_256_67_true_68_1.3.jpg,2n6cjq,40.09
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2xq9ys/2xq9ys_WvFS7wc_174_74_false_2_0.74.jpg,2xq9ys,22.34
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2xq9ys/2xq9ys_zvFS7wc_174_74_false_2_0.74.jpg,2xq9ys,22.34
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3xuegj/3xuegj_ABJWhDb_145_68_false_75_1.0.jpg,3xuegj,22.04
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3xuegj/3xuegj_ABJWhDb_157_68_false_75_1.0.jpg,3xuegj,23.87
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/24dc4z/24dc4z_OpmBs3C_142_69_false_156_1.0.jpg,24dc4z,20.97
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/24dc4z/24dc4z_OpmBs3C_123_69_false_156_1.0.jpg,24dc4z,18.16
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/22ulf6/22ulf6_JIgcVO0_219_71_false_37_1.0.jpg,22ulf6,30.54
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/22ulf6/22ulf6_JIgcVO0_202_71_false_37_1.0.jpg,22ulf6,28.17
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/47biqi/47biqi_kheuY8Q_308_66_true_331_1.57.jpg,47biqi,49.71
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/47biqi/47biqi_kheuY8Q_188_66_true_331_1.57.jpg,47biqi,30.34
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3fp5pl/3fp5pl_zu9WrCd_315_77_false_152_1.0.jpg,3fp5pl,37.35
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3fp5pl/3fp5pl_zu9WrCd_230_77_false_152_1.0.jpg,3fp5pl,27.27
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/4g5zn8/4g5zn8_x9lziRu_234_67_true_498_1.0.jpg,4g5zn8,36.65
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/4g5zn8/4g5zn8_x9lziRu_254_67_true_498_1.0.jpg,4g5zn8,39.78
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/36lr0v/36lr0v_fkmAthG_170_74_false_6_0.56.jpg,36lr0v,21.82
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/36lr0v/36lr0v_kkmAthG_170_74_false_6_0.56.jpg,36lr0v,21.82
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2lgkvf/2lgkvf_rBJTlBD_205_69_false_38_1.0.jpg,2lgkvf,30.27
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2lgkvf/2lgkvf_rBJTlBD_163_69_false_38_1.0.jpg,2lgkvf,24.07
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1n9x96/1n9x96_NqZ2mFr_165_68_false_48_0.58.jpg,1n9x96,25.09
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1n9x96/1n9x96_zQ0pGWY_145_68_false_48_0.58.jpg,1n9x96,22.04
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2gb664/2gb664_gDjPecv_300_73_false_170_1.41.jpg,2gb664,39.58
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2gb664/2gb664_gDjPecv_220_73_false_170_1.41.jpg,2gb664,29.02
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1ayhhj/1ayhhj_ctUuQeh_158_70_true_188_1.33.jpg,1ayhhj,22.67
